"country","country_name","iso_name","lat_center","long_center","year","gdp_pps","unemployment","sucide_rate_total","sucide_rate_total_"
"Latvia","Latvia","LVA",56.879635,24.603189,2014,64,10.9,18.96,-0.5
"Latvia","Latvia","LVA",56.879635,24.603189,2015,65,9.9,19.34,2
"Lithuania","Lithuania","LTU",55.169438,23.881275,2011,67,15.4,33.38,NA
"Lithuania","Lithuania","LTU",55.169438,23.881275,2012,71,13.5,30.69,-8.1
"Lithuania","Lithuania","LTU",55.169438,23.881275,2013,74,11.9,36.12,17.7
"Lithuania","Lithuania","LTU",55.169438,23.881275,2014,76,10.8,31.51,-12.8
"Lithuania","Lithuania","LTU",55.169438,23.881275,2015,75,9.2,30.28,-3.9
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2011,267,4.8,11.48,NA
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2012,263,5,10.69,-6.9
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2013,264,5.7,9.29,-13.1
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2014,272,5.6,13.36,43.8
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2015,272,6.3,13.91,4.1
"Hungary","Hungary","HUN",47.162494,19.503304,2011,67,11,24.61,NA
"Hungary","Hungary","HUN",47.162494,19.503304,2012,67,10.9,24.14,-1.9
"Hungary","Hungary","HUN",47.162494,19.503304,2013,68,10,21.24,-12
"Hungary","Hungary","HUN",47.162494,19.503304,2014,69,7.6,19.42,-8.6
"Hungary","Hungary","HUN",47.162494,19.503304,2015,70,6.7,19.03,-2
"Netherlands","Netherlands","NLD",52.132633,5.291266,2011,135,4.4,10.01,NA
"Netherlands","Netherlands","NLD",52.132633,5.291266,2012,136,5.2,10.67,6.6
"Netherlands","Netherlands","NLD",52.132633,5.291266,2013,137,6.7,11.32,6.1
"Netherlands","Netherlands","NLD",52.132633,5.291266,2014,133,6.9,11.12,-1.8
"Netherlands","Netherlands","NLD",52.132633,5.291266,2015,132,6.4,11.28,1.4
"Austria","Austria","AUT",47.516231,14.550072,2011,129,4.3,15.54,NA
"Austria","Austria","AUT",47.516231,14.550072,2012,133,4.7,15.2,-2.2
"Austria","Austria","AUT",47.516231,14.550072,2013,133,5.1,15.35,1
"Austria","Austria","AUT",47.516231,14.550072,2014,132,5.5,15.25,-0.7
"Austria","Austria","AUT",47.516231,14.550072,2015,131,5.6,14.45,-5.2
"Poland","Poland","POL",51.919438,19.145136,2011,66,9.5,16.04,NA
"Poland","Poland","POL",51.919438,19.145136,2012,67,10,16.71,4.2
"Poland","Poland","POL",51.919438,19.145136,2013,67,10.2,16.35,-2.2
"Poland","Poland","POL",51.919438,19.145136,2014,68,8.9,15.51,-5.1
"Poland","Poland","POL",51.919438,19.145136,2015,69,7.4,14.23,-8.3
"Portugal","Portugal","PRT",39.399872,-8.224454,2011,78,12.8,9.52,NA
"Portugal","Portugal","PRT",39.399872,-8.224454,2012,76,15.8,9.98,4.8
"Portugal","Portugal","PRT",39.399872,-8.224454,2013,78,16.5,9.78,-2
"Portugal","Portugal","PRT",39.399872,-8.224454,2014,78,14.1,11.28,15.3
"Portugal","Portugal","PRT",39.399872,-8.224454,2015,78,12.5,10.38,-8
"Romania","Romania","ROU",45.943161,24.96676,2011,52,7.2,13,NA
"Romania","Romania","ROU",45.943161,24.96676,2012,54,6.7,12.67,-2.5
"Romania","Romania","ROU",45.943161,24.96676,2013,55,7.1,12.24,-3.4
"Romania","Romania","ROU",45.943161,24.96676,2014,56,6.7,11.33,-7.4
"Romania","Romania","ROU",45.943161,24.96676,2015,57,6.7,11.43,0.9
"Slovenia","Slovenia","SVN",46.151241,14.995463,2011,84,8.2,21.71,NA
"Slovenia","Slovenia","SVN",46.151241,14.995463,2012,83,8.9,21.53,-0.8
"Slovenia","Slovenia","SVN",46.151241,14.995463,2013,83,10.2,21.7,0.8
"Slovenia","Slovenia","SVN",46.151241,14.995463,2014,83,9.8,18.87,-13
"Slovenia","Slovenia","SVN",46.151241,14.995463,2015,83,9,20.72,9.8
"Slovakia","Slovakia","SVK",48.669026,19.699024,2011,76,13.2,10.6,NA
"Slovakia","Slovakia","SVK",48.669026,19.699024,2012,77,13.6,11.12,4.9
"Slovakia","Slovakia","SVK",48.669026,19.699024,2013,78,13.9,12.07,8.5
"Slovakia","Slovakia","SVK",48.669026,19.699024,2014,78,12.9,10.74,-11
"Slovakia","Slovakia","SVK",48.669026,19.699024,2015,78,11.3,9.19,-14.4
"Finland","Finland","FIN",61.92411,25.748151,2011,119,7.1,16.91,NA
"Finland","Finland","FIN",61.92411,25.748151,2012,117,7,16.14,-4.6
"Finland","Finland","FIN",61.92411,25.748151,2013,115,7.5,16.36,1.4
"Finland","Finland","FIN",61.92411,25.748151,2014,113,8,14.55,-11.1
"Finland","Finland","FIN",61.92411,25.748151,2015,111,8.8,13.46,-7.5
"Sweden","Sweden","SWE",60.128161,18.643501,2011,130,6.9,11.99,NA
"Sweden","Sweden","SWE",60.128161,18.643501,2012,130,7.1,12.39,3.3
"Sweden","Sweden","SWE",60.128161,18.643501,2013,129,7.1,13.03,5.2
"Sweden","Sweden","SWE",60.128161,18.643501,2014,127,7.1,12.13,-6.9
"Sweden","Sweden","SWE",60.128161,18.643501,2015,129,6.7,12.3,1.4
"Iceland","Iceland","ISL",64.963051,-19.020835,2011,119,6.4,8.85,NA
"Iceland","Iceland","ISL",64.963051,-19.020835,2012,121,5.3,11.61,31.2
"Iceland","Iceland","ISL",64.963051,-19.020835,2013,123,4.8,17.1,47.3
"Iceland","Iceland","ISL",64.963051,-19.020835,2014,124,4.4,13.98,-18.2
"Iceland","Iceland","ISL",64.963051,-19.020835,2015,129,3.5,13.06,-6.6
"Norway","Norway","NOR",60.472024,8.468946,2011,180,2.9,12.49,NA
"Norway","Norway","NOR",60.472024,8.468946,2012,188,2.8,10.62,-15
"Norway","Norway","NOR",60.472024,8.468946,2013,186,3,11.25,5.9
"Norway","Norway","NOR",60.472024,8.468946,2014,178,3.3,10.97,-2.5
"Norway","Norway","NOR",60.472024,8.468946,2015,158,4,11.71,6.7
"Switzerland","Switzerland","CHE",46.818188,8.227512,2011,169,4.3,13.23,NA
"Switzerland","Switzerland","CHE",46.818188,8.227512,2012,172,4.4,13.2,-0.2
"Switzerland","Switzerland","CHE",46.818188,8.227512,2013,173,4.6,13.35,1.1
"Switzerland","Switzerland","CHE",46.818188,8.227512,2014,173,4.8,12.77,-4.3
"Switzerland","Switzerland","CHE",46.818188,8.227512,2015,173,4.7,12.96,1.5
"United Kingdom","UK","GBR",55.378051,-3.435973,2011,108,NA,6.71,NA
"United Kingdom","UK","GBR",55.378051,-3.435973,2012,110,NA,7.22,7.6
"United Kingdom","UK","GBR",55.378051,-3.435973,2013,111,NA,7.36,1.9
"United Kingdom","UK","GBR",55.378051,-3.435973,2014,111,NA,7.08,-3.8
"United Kingdom","UK","GBR",55.378051,-3.435973,2015,111,NA,7.36,4
"Turkey","Turkey","TUR",38.963745,35.243322,2011,57,8.6,1.78,NA
"Turkey","Turkey","TUR",38.963745,35.243322,2012,59,8,2.19,23
"Turkey","Turkey","TUR",38.963745,35.243322,2013,62,8.6,2.82,28.8
"Turkey","Turkey","TUR",38.963745,35.243322,2014,65,9.7,2.4,-14.9
"Turkey","Turkey","TUR",38.963745,35.243322,2015,68,10,2.18,-9.2
